课程编号,课程名称,章,知识点,书籍文件名称,开始页码,结束页码,
INF1230,程序设计基础,引言,一个C语言程序,INF1230_程序设计基础,18,19,
INF1230,程序设计基础,引言,程序与程序设计语言,INF1230_程序设计基础,19,27,
INF1230,程序设计基础,引言,C语言的发展历史与特点,INF1230_程序设计基础,27,28,
INF1230,程序设计基础,引言,实现问题求解的过程,INF1230_程序设计基础,28,31,
INF1230,程序设计基础,用C语言编写程序,在屏幕上显示Hello World!,INF1230_程序设计基础,34,36,
INF1230,程序设计基础,用C语言编写程序,求华氏温度100F对应的摄氏温度,INF1230_程序设计基础,36,40,
INF1230,程序设计基础,用C语言编写程序,计算分段函数,INF1230_程序设计基础,40,45,
INF1230,程序设计基础,用C语言编写程序,输出华氏-摄氏温度转换表,INF1230_程序设计基础,46,53,
INF1230,程序设计基础,用C语言编写程序,生成乘方表与阶乘表,INF1230_程序设计基础,53,56,
INF1230,程序设计基础,分支结构,简单的猜数游戏,INF1230_程序设计基础,62,67,
INF1230,程序设计基础,分支结构,四则运算,INF1230_程序设计基础,67,73,
INF1230,程序设计基础,分支结构,查询自动售货机中商品的价格,INF1230_程序设计基础,73,80,
INF1230,程序设计基础,循环结构,用格雷戈里公式求π的近似值,INF1230_程序设计基础,86,90,
INF1230,程序设计基础,循环结构,统计一个整数的位数,INF1230_程序设计基础,90,93,
INF1230,程序设计基础,循环结构,判断素数,INF1230_程序设计基础,93,97,
INF1230,程序设计基础,循环结构,求1!+2!+…+n!,INF1230_程序设计基础,97,101,
INF1230,程序设计基础,循环结构,循环结构程序设计,INF1230_程序设计基础,101,108,
INF1230,程序设计基础,函数,计算圆柱体积,INF1230_程序设计基础,116,124,
INF1230,程序设计基础,函数,数字金字塔,INF1230_程序设计基础,124,127,
INF1230,程序设计基础,函数,复数运算,INF1230_程序设计基础,127,134,
INF1230,程序设计基础,回顾数据类型和表达式,数据的存储和基本数据类型,INF1230_程序设计基础,140,145,
INF1230,程序设计基础,回顾数据类型和表达式,数据的输入和输出,INF1230_程序设计基础,145,149,
INF1230,程序设计基础,回顾数据类型和表达式,类型转换,INF1230_程序设计基础,149,150,
INF1230,程序设计基础,回顾数据类型和表达式,表达式,INF1230_程序设计基础,150,163,
INF1230,程序设计基础,数组,输出所有大于平均值的数,INF1230_程序设计基础,168,181,
INF1230,程序设计基础,数组,找出矩阵中最大值所在的位置,INF1230_程序设计基础,181,188,
INF1230,程序设计基础,数组,判断回文,INF1230_程序设计基础,188,197,
INF1230,程序设计基础,指针,密码开锁,INF1230_程序设计基础,202,209,
INF1230,程序设计基础,指针,角色互换,INF1230_程序设计基础,209,213,
INF1230,程序设计基础,指针,冒泡排序,INF1230_程序设计基础,213,219,
INF1230,程序设计基础,指针,字符串压缩,INF1230_程序设计基础,219,226,
INF1230,程序设计基础,指针,任意个整数求和,INF1230_程序设计基础,227,230,
INF1230,程序设计基础,结构,输出平均分最高的学生信息,INF1230_程序设计基础,236,242,
INF1230,程序设计基础,结构,学生成绩排序,INF1230_程序设计基础,242,244,
INF1230,程序设计基础,结构,修改学生成绩,INF1230_程序设计基础,245,248,
INF1230,程序设计基础,函数与程序结构,有序表的操作,INF1230_程序设计基础,254,259,
INF1230,程序设计基础,函数与程序结构,汉诺塔问题,INF1230_程序设计基础,259,266,
INF1230,程序设计基础,函数与程序结构,长度单位转换,INF1230_程序设计基础,266,273,
INF1230,程序设计基础,函数与程序结构,大程序构成——多文件模块的学习信息库系统,INF1230_程序设计基础,273,276,
INF1230,程序设计基础,指针进阶,单词索引,INF1230_程序设计基础,282,295,
INF1230,程序设计基础,指针进阶,字符定位,INF1230_程序设计基础,295,299,
INF1230,程序设计基础,指针进阶,用链表构建学术信息库,INF1230_程序设计基础,299,308,
INF1230,程序设计基础,文件,素数文件,INF1230_程序设计基础,314,320,
INF1230,程序设计基础,文件,用户信息加密和校验,INF1230_程序设计基础,320,333,
INF1230,程序设计基础,文件,文件综合应用：资金账户管理,INF1230_程序设计基础,333,337,
